количество детей,возраст,образование,education_id,семейный статус,family_status_id,пол,род деятельности,уровень дохода,цель кредита,просрочки
1,42,высшее,0,женат / замужем,0,F,сотрудник,253875,покупка жилья,0
1,36,среднее,1,женат / замужем,0,F,сотрудник,112080,приобретение автомобиля,0
0,33,среднее,1,женат / замужем,0,M,сотрудник,145885,покупка жилья,0
3,32,среднее,1,женат / замужем,0,M,сотрудник,267628,дополнительное образование,0
0,53,среднее,1,гражданский брак,1,F,пенсионер,158616,сыграть свадьбу,0
0,27,высшее,0,гражданский брак,1,M,компаньон,255763,покупка жилья,0
0,43,высшее,0,женат / замужем,0,F,компаньон,240525,операции с жильем,0
0,50,среднее,1,женат / замужем,0,M,сотрудник,135823,образование,0
2,35,высшее,0,гражданский брак,1,F,сотрудник,95856,на проведение свадьбы,0
0,41,среднее,1,женат / замужем,0,M,сотрудник,144425,покупка жилья для семьи,0
2,36,высшее,0,женат / замужем,0,M,компаньон,113943,покупка недвижимости,0
0,40,среднее,1,женат / замужем,0,F,сотрудник,77069,покупка коммерческой недвижимости,0
0,65,среднее,1,гражданский брак,1,M,пенсионер,137127,сыграть свадьбу,0
0,54,неоконченное высшее,2,женат / замужем,0,F,сотрудник,130458,приобретение автомобиля,0
0,56,высшее,0,гражданский брак,1,F,компаньон,165127,покупка жилой недвижимости,1
1,26,среднее,1,женат / замужем,0,F,сотрудник,116820,строительство собственной недвижимости,0
0,35,среднее,1,женат / замужем,0,F,сотрудник,289202,недвижимость,0
0,33,высшее,0,гражданский брак,1,M,сотрудник,90410,строительство недвижимости,0
0,53,среднее,1,вдовец / вдова,2,F,пенсионер,56823,на покупку подержанного автомобиля,0
0,48,среднее,1,в разводе,3,F,сотрудник,242831,на покупку своего автомобиля,0
1,36,среднее,1,женат / замужем,0,M,сотрудник,209552,недвижимость,0
1,33,среднее,1,гражданский брак,1,F,сотрудник,131812,приобретение автомобиля,0
1,24,среднее,1,гражданский брак,1,F,сотрудник,149681,на покупку подержанного автомобиля,0
0,21,высшее,0,гражданский брак,1,M,сотрудник,128265,сыграть свадьбу,0
1,57,среднее,1,Не женат / не замужем,4,F,пенсионер,290547,операции с коммерческой недвижимостью,0
0,67,среднее,1,женат / замужем,0,M,пенсионер,55112,покупка недвижимости,0
0,41,среднее,1,женат / замужем,0,M,госслужащий,170898,образование,0
0,28,высшее,0,женат / замужем,0,M,сотрудник,308848,строительство собственной недвижимости,0
1,26,высшее,0,женат / замужем,0,F,сотрудник,187863,строительство собственной недвижимости,0
0,63,среднее,1,Не женат / не замужем,4,F,пенсионер,137127,строительство жилой недвижимости,0
1,62,среднее,1,женат / замужем,0,F,пенсионер,171456,операции с коммерческой недвижимостью,0
0,47,начальное,3,женат / замужем,0,F,сотрудник,275485,жилье,0
0,34,среднее,1,гражданский брак,1,F,сотрудник,139057,на проведение свадьбы,1
0,48,среднее,1,женат / замужем,0,F,компаньон,157245,покупка жилья,0
0,35,среднее,1,женат / замужем,0,F,сотрудник,104660,операции со своей недвижимостью,0
0,68,среднее,1,гражданский брак,1,M,пенсионер,77805,на проведение свадьбы,0
0,33,среднее,1,Не женат / не замужем,4,M,сотрудник,138830,автомобили,0
0,43,высшее,0,гражданский брак,1,F,компаньон,154128,приобретение автомобиля,0
0,25,высшее,0,Не женат / не замужем,4,M,сотрудник,192247,образование,1
0,31,высшее,0,гражданский брак,1,F,компаньон,754240,заняться образованием,0
0,30,среднее,1,Не женат / не замужем,4,M,компаньон,142865,покупка недвижимости,0
0,50,среднее,1,женат / замужем,0,F,госслужащий,170898,сделка с подержанным автомобилем,0
0,20,неоконченное высшее,2,Не женат / не замужем,4,F,сотрудник,82065,получение образования,0
0,43,неоконченное высшее,2,в разводе,3,F,компаньон,272957,приобретение автомобиля,0
1,26,среднее,1,женат / замужем,0,F,сотрудник,100780,на покупку своего автомобиля,0
1,49,среднее,1,Не женат / не замужем,4,F,сотрудник,106385,заняться образованием,0
2,37,среднее,1,женат / замужем,0,F,компаньон,182682,сделка с подержанным автомобилем,0
1,33,высшее,0,гражданский брак,1,M,госслужащий,356277,на проведение свадьбы,0
0,45,среднее,1,женат / замужем,0,F,сотрудник,162065,строительство собственной недвижимости,0
0,54,среднее,1,женат / замужем,0,F,сотрудник,44591,автомобиль,0
0,63,среднее,1,женат / замужем,0,F,пенсионер,92342,автомобили,0
1,50,высшее,0,гражданский брак,1,F,сотрудник,203199,свадьба,0
1,28,среднее,1,женат / замужем,0,F,сотрудник,52746,получение дополнительного образования,0
0,61,среднее,1,в разводе,3,F,компаньон,311453,покупка своего жилья,0
0,27,высшее,0,гражданский брак,1,F,сотрудник,92238,автомобили,0
0,54,среднее,1,гражданский брак,1,F,пенсионер,137127,сыграть свадьбу,1
0,64,среднее,1,вдовец / вдова,2,F,пенсионер,149141,образование,0
0,44,среднее,1,вдовец / вдова,2,F,сотрудник,58616,образование,0
0,36,высшее,0,женат / замужем,0,M,сотрудник,414404,недвижимость,0
0,53,среднее,1,гражданский брак,1,F,компаньон,261369,операции с недвижимостью,0
1,48,среднее,1,женат / замужем,0,M,сотрудник,129902,заняться образованием,0
0,42,среднее,1,гражданский брак,1,F,сотрудник,173987,покупка недвижимости,0
0,48,высшее,0,Не женат / не замужем,4,M,госслужащий,435388,получение высшего образования,0
0,45,среднее,1,женат / замужем,0,F,сотрудник,110004,операции с жильем,0
0,35,неоконченное высшее,2,Не женат / не замужем,4,M,сотрудник,282900,сделка с подержанным автомобилем,0
0,21,среднее,1,Не женат / не замужем,4,M,компаньон,202417,операции с коммерческой недвижимостью,0
0,28,среднее,1,женат / замужем,0,M,сотрудник,145214,заняться образованием,0
0,52,высшее,0,женат / замужем,0,F,пенсионер,137127,покупка жилья для семьи,0
2,46,высшее,0,женат / замужем,0,M,компаньон,592071,операции с коммерческой недвижимостью,0
0,23,среднее,1,Не женат / не замужем,4,F,сотрудник,91247,покупка своего жилья,0
1,28,высшее,0,женат / замужем,0,M,госслужащий,207561,покупка коммерческой недвижимости,0
0,62,среднее,1,женат / замужем,0,F,пенсионер,43929,автомобили,0
1,32,высшее,0,женат / замужем,0,M,госслужащий,170898,операции с коммерческой недвижимостью,0
0,40,среднее,1,гражданский брак,1,M,сотрудник,97946,заняться образованием,0
1,45,среднее,1,женат / замужем,0,F,сотрудник,81142,покупка жилья для семьи,0
1,38,среднее,1,женат / замужем,0,M,сотрудник,81935,операции с недвижимостью,1
1,44,высшее,0,женат / замужем,0,M,сотрудник,148992,на покупку подержанного автомобиля,0
0,43,высшее,0,Не женат / не замужем,4,F,сотрудник,140843,свой автомобиль,0
0,61,высшее,0,женат / замужем,0,M,пенсионер,175127,сделка с автомобилем,0
0,27,среднее,1,Не женат / не замужем,4,M,компаньон,253681,автомобили,0
