марка,модель кузова,километраж,объем двигателя,тип двигателя,регистрация,год,модель,привод,цена
Ford,crossover,68,2.5,Gas,yes,2010,Kuga,full,15500.0
Mercedes-Benz,sedan,173,1.8,Gas,yes,2011,E-Class,rear,20500.0
Mercedes-Benz,other,135,5.5,Petrol,yes,2008,CL 550,rear,35000.0
Mercedes-Benz,van,162,1.8,Diesel,yes,2012,B 180,front,17800.0
Nissan,crossover,83,2.0,Petrol,yes,2013,X-Trail,full,16600.0
Honda,sedan,199,2.0,Petrol,yes,2003,Accord,front,6500.0
Renault,vagon,185,1.5,Diesel,yes,2011,Megane,front,10500.0
Mercedes-Benz,sedan,146,1.8,Gas,yes,2012,E-Class,rear,21500.0
Mercedes-Benz,sedan,125,2.2,Diesel,yes,2010,E-Class,rear,22700.0
Nissan,crossover,0,1.2,Petrol,yes,2016,Qashqai,front,20447.154
Mercedes-Benz,sedan,190,1.8,Gas,yes,2011,E-Class,rear,20400.0
Mercedes-Benz,sedan,164,1.8,Gas,yes,2012,E-Class,rear,22500.0
BMW,sedan,200,2.6290927510130397,Petrol,yes,1996,316,rear,4700.0
Mercedes-Benz,sedan,159,1.8,Gas,yes,2012,E-Class,rear,21500.0
BMW,sedan,290,4.8,Petrol,yes,2006,750,rear,19999.0
BMW,sedan,2,5.0,Petrol,yes,2016,750,full,129222.0
Mercedes-Benz,crossover,0,3.0,Petrol,yes,2016,GLE-Class,full,99999.0
Nissan,crossover,83,2.0,Petrol,yes,2013,X-Trail,full,16600.0
BMW,sedan,57,4.4,Petrol,yes,2013,M5,rear,73900.0
Nissan,crossover,0,1.6,Diesel,yes,2016,X-Trail,full,26033.553
BMW,crossover,2,3.0,Diesel,yes,2016,X5,full,104999.0
BMW,crossover,1,2.0,Diesel,yes,2016,X5,full,66500.0
BMW,crossover,0,2.0,Diesel,yes,2016,X5,full,65099.0
BMW,crossover,235,3.0,Diesel,yes,2007,X5,full,23900.0
Mercedes-Benz,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full,69999.0
BMW,crossover,70,3.0,Diesel,yes,2014,X5,full,66200.0
BMW,crossover,0,2.0,Diesel,yes,2015,X5,full,63000.0
Mercedes-Benz,crossover,0,2.98,Diesel,yes,2016,GLE-Class,full,105999.0
Nissan,hatch,31,2.6290927510130397,Other,yes,2013,Leaf,front,13980.0
