фотки,площадь_квартиры,дата_публикаци,комнаты,потолки,этажность,жил_площадь,этаж,апартаменты,студия,свободная_планировка,площадь_кухни,балконы,населенный_пункт,до_аэропорта,до_центра_города,парки,до_парка,водоемы,до_водоема,количество_дней_публикации,стоимость
20,108.0,2019-03-07,3,2.7,16,51.0,8,1,0,0,25.0,0,Санкт-Петербург,18863.0,16028.0,1,482.0,2,755.0,95,13000000.0
7,40.4,2018-12-04,1,2.65,11,18.6,1,1,0,0,11.0,2,посёлок Шушары,12817.0,18603.0,0,490.8307291666667,0,518.0439233817701,81,3350000.0
10,56.0,2015-08-20,2,2.65,5,34.3,4,1,0,0,8.3,0,Санкт-Петербург,21741.0,13933.0,1,90.0,2,574.0,558,5196000.0
0,159.0,2015-07-24,3,2.65,14,301.795171612139,9,1,0,0,9.1,0,Санкт-Петербург,28098.0,6800.0,2,84.0,3,234.0,424,64900000.0
2,100.0,2018-06-19,2,3.03,14,32.0,13,1,0,0,41.0,0,Санкт-Петербург,31856.0,8098.0,2,112.0,1,48.0,121,10000000.0
10,30.4,2018-09-10,1,2.65,12,14.4,5,1,0,0,9.1,0,городской посёлок Янино-1,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,55,2890000.0
6,37.3,2017-11-02,1,2.65,26,10.6,6,1,0,0,14.4,1,посёлок Парголово,52996.0,19143.0,0,490.8307291666667,0,518.0439233817701,155,3700000.0
5,71.6,2019-04-18,2,2.65,24,36.805990497844064,22,1,0,0,18.9,2,Санкт-Петербург,23982.0,11634.0,0,490.8307291666667,0,518.0439233817701,95,7915000.0
20,33.16,2018-05-23,1,2.65,27,15.43,26,1,0,0,8.81,0,посёлок Мурино,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,189,2900000.0
18,61.0,2017-02-26,3,2.5,9,43.6,7,1,0,0,6.5,2,Санкт-Петербург,50898.0,15008.0,0,490.8307291666667,0,518.0439233817701,289,5400000.0
5,39.6,2017-11-16,1,2.67,12,20.3,3,1,0,0,8.5,0,Санкт-Петербург,38357.0,13878.0,1,310.0,2,553.0,137,5050000.0
9,44.0,2018-08-27,2,2.65,5,31.0,4,0,0,0,6.0,1,Ломоносов,48252.0,51677.0,0,490.8307291666667,0,518.0439233817701,7,3300000.0
10,54.0,2016-06-30,2,2.65,5,30.0,5,1,0,0,9.0,0,Сертолово,28878.60750361694,14234.907334738264,0,490.8307291666667,0,518.0439233817701,90,3890000.0
20,42.8,2017-07-01,2,2.56,5,27.0,5,1,0,0,5.2,1,Петергоф,37868.0,33058.0,1,294.0,3,298.0,366,3550000.0
1,36.0,2016-06-23,1,2.65,6,17.0,1,1,0,0,8.0,0,Пушкин,20782.0,30759.0,0,490.8307291666667,1,96.0,203,4400000.0
16,39.0,2017-11-18,1,2.65,14,20.5,5,1,0,0,7.6,1,Санкт-Петербург,12900.0,14259.0,1,590.0,1,296.0,19,4650000.0
11,82.0,2017-11-23,3,3.05,5,55.6,1,1,0,0,9.0,0,Санкт-Петербург,22108.0,10698.0,3,420.0,0,518.0439233817701,397,6700000.0
6,36.0,2016-09-09,1,2.65,17,16.5,7,1,0,0,11.0,1,Санкт-Петербург,33564.0,14616.0,0,490.8307291666667,1,859.0,571,4180000.0
8,31.0,2017-01-27,1,2.5,5,19.4,2,1,0,0,5.6,1,Санкт-Петербург,44060.0,10842.0,1,759.0,0,518.0439233817701,168,3250000.0
