дата,тип пожара,type_id,долгота,широта,время устранения пожара
2012-03-13,Природный пожар,4,131.5866,47.8662,2
2012-03-13,Природный пожар,4,131.5885,47.8809,5
2012-03-13,Лесной пожар,3,131.9871,48.4973,5
2012-03-13,Природный пожар,4,131.9031,43.6277,3
2012-03-13,Природный пожар,4,131.5706,47.8581,2
2012-03-14,Природный пожар,4,131.5798,52.1321,3
2012-03-15,Природный пожар,4,20.4452,54.8597,3
2012-03-18,Природный пожар,4,125.8202,55.209,2
2012-03-19,Природный пожар,4,38.2039,45.5618,5
2012-03-19,Контролируемый пал,5,39.0129,44.9598,5
2012-03-19,Природный пожар,4,47.5648,43.6893,4
2012-03-19,Природный пожар,4,132.262,44.0062,3
2012-05-14,Лесной пожар,3,93.2201,56.5377,4
2012-05-14,Лесной пожар,3,93.0662,56.9302,2
2012-05-14,Лесной пожар,3,92.9894,56.9679,3
2012-05-14,Лесной пожар,3,93.1233,57.1163,5
2012-05-14,Лесной пожар,3,93.222,57.0587,3
2012-05-14,Лесной пожар,3,91.054,57.1111,3
2012-05-14,Лесной пожар,3,90.6519,56.9339,3
2012-05-14,Лесной пожар,3,89.5735,56.5652,3
2012-05-14,Лесной пожар,3,90.584,57.3357,2
2012-05-14,Лесной пожар,3,90.297,57.3433,5
2012-05-14,Лесной пожар,3,84.3895,56.5238,2
2012-05-14,Лесной пожар,3,85.4911,55.6749,5
2012-05-14,Лесной пожар,3,85.5098,55.6369,2
2012-05-14,Лесной пожар,3,85.2518,55.493,2
2012-05-14,Лесной пожар,3,85.7535,55.5822,2
2012-05-14,Лесной пожар,3,85.1266,55.2007,3
2012-05-14,Лесной пожар,3,86.2545,55.4053,2
2012-05-14,Лесной пожар,3,86.286,55.0941,3
2012-05-14,Лесной пожар,3,84.424,53.9896,5
2012-05-14,Лесной пожар,3,84.5431,53.9432,3
2012-05-14,Лесной пожар,3,86.8215,54.5582,3
2012-05-14,Неконтролируемый пал,1,86.5647,53.9295,2
2012-05-14,Неконтролируемый пал,1,85.1033,53.4434,3
2012-05-14,Лесной пожар,3,90.367,51.5258,2
2012-05-14,Лесной пожар,3,90.3854,51.4782,4
2012-05-14,Лесной пожар,3,90.5305,51.4571,3
2012-05-14,Лесной пожар,3,91.4383,51.6711,1
2012-05-14,Лесной пожар,3,96.352,52.6256,2
2012-05-14,Неконтролируемый пал,1,96.7136,51.128,1
2012-05-14,Лесной пожар,3,102.4339,50.8158,4
2012-05-14,Лесной пожар,3,102.461,50.8473,3
2012-05-14,Неконтролируемый пал,1,102.6875,50.8723,3
2012-05-14,Неконтролируемый пал,1,102.8341,50.9313,2
2012-05-14,Лесной пожар,3,103.44,50.8709,2
2012-05-14,Природный пожар,4,103.5209,50.7626,3
2012-05-14,Лесной пожар,3,103.7135,50.6353,3
2012-05-14,Неконтролируемый пал,1,103.6496,50.8581,1
2012-05-14,Неконтролируемый пал,1,103.6172,50.8869,3
2012-05-14,Неконтролируемый пал,1,103.5804,50.9103,3
2012-05-14,Неконтролируемый пал,1,103.772,50.3717,3
2012-05-14,Неконтролируемый пал,1,103.8171,50.3644,1
2012-05-14,Природный пожар,4,103.6786,50.2191,3
2012-05-14,Неконтролируемый пал,1,104.1467,50.1792,4
2012-05-14,Неконтролируемый пал,1,104.2213,50.1932,3
2012-05-14,Неконтролируемый пал,1,104.2635,50.2619,2
2012-05-14,Неконтролируемый пал,1,104.492,50.3385,1
2012-05-14,Лесной пожар,3,104.5916,50.3464,2
2012-05-14,Неконтролируемый пал,1,104.6427,50.3247,1
2012-05-14,Лесной пожар,3,105.1255,50.4032,5
2012-05-14,Неконтролируемый пал,1,99.5613,54.4226,4
2012-05-14,Лесной пожар,3,100.0537,54.6467,3
2012-05-14,Лесной пожар,3,100.2118,54.6425,3
2012-05-14,Лесной пожар,3,100.2369,54.6242,4
2012-05-14,Лесной пожар,3,100.3787,54.7594,1
2012-05-14,Лесной пожар,3,100.5555,54.8609,2
2012-05-14,Лесной пожар,3,100.868,54.3284,5
2012-05-14,Лесной пожар,3,100.6117,54.1393,3
2012-05-14,Лесной пожар,3,100.1797,54.2399,1
2012-05-14,Неконтролируемый пал,1,101.6778,54.2164,5
2012-05-14,Лесной пожар,3,101.8454,54.1562,4
2012-05-14,Неконтролируемый пал,1,102.0075,54.3843,5
2012-05-14,Лесной пожар,3,102.0556,54.5633,3
2012-05-14,Лесной пожар,3,102.0473,54.586,3
